Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,,PC1,PC2,PC3
California Dreamin',Portals pt 2,Miro Mas,lofi,150208,0.775,0.458,-13.796,0.121,0.857,0.914,0.621,84.913,,-4.293393901,0.155164803,-3.110662486
Better Now,My Name Is Spruce,Granlund,lofi,200000,0.668,0.455,-12.324,0.0529,0.903,0.927,0.515,144.006,,-3.724855422,1.284016208,-2.908343529
verk,swamp,timbert,lofi,153979,0.514,0.201,-19.182,0.0422,0.884,0.875,0.264,123.957,,-5.768951723,2.708951219,-3.631196594
One Last Time,Suncovers,owlh,lofi,200277,0.781,0.129,-17.601,0.0423,0.912,0.941,0.564,107.999,,-6.438133413,1.3981749,-2.955395486
Summertime Sadness,Portals pt 2,Miro Mas,lofi,249999,0.752,0.291,-12.089,0.068,0.719,0.854,0.359,82.014,,-4.354910462,1.552255126,-1.776337158
Touch You,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,"遠野高志,加島優,矢口恭介,ジミー,百合絢斗,田村唯,明美圭一,糸目幸士郎,鹿谷樹",pop,206180,0.603,0.964,-2.886,0.0487,0.00655,3.04E-06,0.796,135.028,,0.818227357,-1.51103166,1.015097136
カワキヲアメク,カワキヲアメク,美波,pop,251933,0.546,0.808,-4.52,0.0536,0.0148,0.00014,0.511,129.165,,0.313719766,-0.102787889,0.973690708
Satisfied,Hamilton (Original Broadway Cast Recording),"Renée Elise Goldsberry,Original Broadway Cast of Hamilton",pop,329228,0.707,0.593,-8.581,0.0949,0.287,0,0.478,123.772,,-1.680815409,0.354973263,0.363717068
Join Us for a Bite,All Five Nights,"JT Music,Andrea Storm Kaden",rap,236511,0.595,0.752,-5.651,0.0361,0.0461,0,0.386,85.987,,-0.573163369,-0.007750509,1.389070842
Labyrinth,Labyrinth,"CG5,Fandroid!,Chi-Chi,Caleb Hyles,Dagames,Dawko",rap,280780,0.607,0.757,-2.231,0.0322,0.383,0,0.365,139.992,,-0.337870195,0.244366674,0.758797029
I Know It's Today,Shrek The Musical,"Leah Greenhaus,Marissa O'Donnell,Sutton Foster",pop,318666,0.561,0.269,-9.446,0.0592,0.834,0,0.42,137.395,,-4.150853703,1.535509822,-0.698969927
Sky,Whole Lotta Red,Playboi Carti,rap,193234,0.785,0.903,-4.184,0.21,0.258,0,0.565,139.98,,0.374548832,-1.641633708,-1.043623154
Kill Bill,SOS,SZA,rap,153946,0.644,0.735,-5.747,0.0391,0.0521,0.144,0.418,88.98,,-0.607729235,-0.719956912,0.395549904
Like That,WE DON'T TRUST YOU,"Future,Metro Boomin,Kendrick Lamar",rap,267706,0.814,0.676,-4.67,0.231,0.00709,1.28E-05,0.312,162.012,,0.639484411,-0.521256457,-0.912179508
メインテーマ,TVアニメ『宝石の国』オリジナルサウンドトラック,藤澤慶昌,pop,116186,0.169,0.126,-14.597,0.0388,0.909,0.0411,0.0602,75.001,,-5.852888394,2.83537753,-2.129025597
Africa,Toto IV,TOTO,metal,295893,0.671,0.373,-18.064,0.0323,0.257,8.01E-05,0.732,92.718,,-4.654048866,0.567610405,0.724846028
You Belong Here,All Five Nights,"JT Music,Andrea Storm Kaden",rap,253714,0.731,0.884,-4.872,0.107,0.078,0,0.744,140.021,,0.296990253,-1.357898284,0.450287226
瞬き,TVアニメ「佐々木と宮野」オープニングテーマ「瞬き」,ミラクルチンパンジー,pop,240506,0.611,0.878,-4.683,0.0485,0.0332,0,0.894,114.971,,-0.017948153,-1.361590481,1.428730061
君のせい,Hell like Heaven,the peggies,pop,263066,0.39,0.986,-1.51,0.0812,0.00079,0.00704,0.557,173.998,,1.996681897,0.156210074,0.551953163
残響散歌,残響散歌,Aimer,pop,184893,0.367,0.896,-4.002,0.091,0.000627,0,0.38,170.863,,1.467717942,0.307798145,-0.43074518
RED,RED,Survive Said The Prophet,pop,253893,0.449,0.693,-4.592,0.0351,0.0165,0,0.423,107.997,,-0.173155098,0.547606581,1.345723794
Starboy,Starboy,"The Weeknd,Daft Punk",edm,230453,0.679,0.587,-7.015,0.276,0.141,6.35E-06,0.486,186.003,,-0.006739427,-0.391371538,-1.975569479
なんなのさ!,TVアニメ『宝石の国』オリジナルサウンドトラック,藤澤慶昌,pop,100360,0.81,0.151,-19.136,0.0343,0.958,0.66,0.68,92.953,,-7.175460062,-0.094415323,-3.271674377
ちょっとひと息,TVアニメ『宝石の国』オリジナルサウンドトラック,藤澤慶昌,pop,97933,0.579,0.467,-11.058,0.0409,0.929,0.7,0.151,160.003,,-3.296160789,1.243423427,-3.87636234
Queencard,I feel,(G)I-DLE,pop,161240,0.815,0.834,-2.828,0.0475,0.0327,0.000268,0.692,129.989,,0.199395957,-2.336426189,0.465612162
Hurricane,Hamilton (Original Broadway Cast Recording),"Lin-Manuel Miranda,Original Broadway Cast of Hamilton",pop,143551,0.453,0.546,-7.952,0.309,0.762,0,0.398,171.289,,-1.590439076,0.251602801,-3.681552095
Look At Me,Twicetagram,TWICE,pop,193146,0.719,0.909,-3.585,0.0365,0.156,1.21E-06,0.665,134.892,,0.077974195,-1.57881082,0.657793046
青のすみか,青のすみか,Tatsuya Kitani,pop,196466,0.479,0.898,-4.809,0.169,0.0134,0,0.639,151.99,,1.123371805,-0.651956447,-0.526736507
Pallet Town (Pokémon Lofi),Pallet Town (Pokémon Lofi),"Super Lofi 64,GameChops",lofi,154000,0.589,0.406,-14.781,0.0395,0.943,0.95,0.536,77.501,,-4.999779785,1.334614814,-2.522687263
Pokémon League,Poké & Chill,"Mikel,GameChops",lofi,171000,0.606,0.357,-15.426,0.07,0.0999,0.883,0.321,79.956,,-2.989694531,1.591467296,-1.709866982
Pokémon Center,Pokémon Center,"Tee Lopes,GameChops",lofi,173098,0.657,0.647,-8.97,0.0325,0.0715,0.959,0.442,147.976,,-0.5234302,0.667597284,-1.520410373
Title Screen,Chilltendo Deluxe,"Jokabi,GameChops,Mikel",lofi,165750,0.774,0.225,-12.626,0.0786,0.819,0.75,0.231,79.996,,-4.946623898,1.14053087,-2.738092917
National Park,Poké Tape 4,"Coffee Date,GameChops",lofi,129000,0.655,0.258,-14.991,0.0398,0.893,0.868,0.205,80.002,,-5.376728091,1.670289512,-3.045538433
Littleroot Town,Poké Tape 3,"Helynt,GameChops",lofi,139764,0.766,0.173,-15.416,0.0422,0.97,0.937,0.46,84.994,,-6.157672813,0.976128251,-3.180783988
Northern Cardinal,Northern Cardinal,"Bird Boy,Dj Cutman",lofi,140869,0.758,0.446,-12.14,0.0825,0.263,0.672,0.489,92.046,,-2.738256801,-0.117691556,-1.831546249
Broiled Magikarp,Broiled Magikarp,"Dubtendo,GameChops",lofi,145333,0.865,0.557,-9.233,0.042,0.711,0.845,0.963,135.003,,-3.064972419,-1.417773291,-2.200636328
Snowpoint,Poké Tape,"BKNAPP,GameChops",lofi,181973,0.728,0.434,-12.441,0.0484,0.135,0.845,0.503,90.016,,-2.564080668,0.525936809,-1.154539718
Pokémon Lofi Center,Super Lofi World 3,"Helynt,GameChops",lofi,157674,0.538,0.15,-18.458,0.0465,0.988,0.937,0.0696,171.934,,-5.539452427,3.276600543,-4.683295465
Driftveil City,Poké Tape 3,"Helynt,GameChops",lofi,130632,0.653,0.265,-15.076,0.208,0.844,0.929,0.35,158.017,,-3.996623584,1.377739943,-5.277189789
Hot Tea & Firmware Updates,WiiU Grooves,Dj Cutman,lofi,193500,0.809,0.657,-8.917,0.0554,0.082,0.83,0.67,120.026,,-0.997509754,-0.496650226,-0.929961506
BATTER UP,BATTER UP,BABYMONSTER,pop,188179,0.903,0.685,-4.772,0.105,0.069,1.12E-05,0.873,130.01,,-0.593228438,-2.678721079,0.012225373
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,pop,195520,0.755,0.575,-4.521,0.0705,0.189,0,0.808,114.962,,-1.260525008,-1.811431138,0.299739206
Left and Right (Feat. Jung Kook of BTS),CHARLIE,"Charlie Puth,Jung Kook,BTS",pop,154486,0.881,0.592,-4.898,0.0324,0.619,1.32E-05,0.719,101.058,,-2.723694918,-2.203971316,-0.138501956
Sweet Home Alabama,Second Helping (Expanded Edition),Lynyrd Skynyrd,country,283800,0.596,0.606,-12.145,0.0255,0.181,0.000327,0.886,97.785,,-2.694981559,-0.212317104,1.44837649
Still into You,Paramore,Paramore,pop,216013,0.602,0.923,-3.763,0.044,0.0098,0,0.765,136.01,,0.560022971,-1.264741812,1.033489418
I Ain't Worried,I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick),OneRepublic,pop,148485,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.825,139.994,,-0.423343114,-2.062090943,0.06178436
The Less I Know The Better,002 (other people's songs),lokash,lofi,215333,0.647,0.334,-14.558,0.0271,0.955,0.946,0.162,114.024,,-4.840951634,2.600509843,-2.655451077
Yellow,Covers Collection,LAV8,lofi,135000,0.586,0.402,-14.813,0.0872,0.294,0.908,0.169,95.024,,-2.866313426,1.733639687,-2.749910955
Trouble,002 (other people's songs),lokash,lofi,280677,0.696,0.334,-16.532,0.0435,0.847,0.926,0.385,125.918,,-4.889575353,2.419076893,-2.314827569
Come By Sometime,About Last Night,Yedai,lofi,138289,0.553,0.159,-19.955,0.0298,0.719,0.696,0.123,72.984,,-6.274180391,2.530874185,-2.665042828
Magic,undercover,owlh,lofi,248166,0.656,0.587,-5.37,0.0548,0.359,0.86,0.336,179.947,,-0.374283382,1.261412554,-1.801278549
Violent Crimes,Feelin' Cute,<3BEAT,lofi,198666,0.635,0.346,-19.714,0.0609,0.885,0.88,0.169,90.005,,-5.549095273,2.69633949,-2.968625531
Tattoo,003 (other people's songs),lokash,lofi,183242,0.802,0.398,-13.854,0.0496,0.89,0.921,0.156,128.014,,-4.244746355,1.628085881,-3.205195247
Yummy,Covers Collection,LAV8,lofi,149714,0.738,0.333,-12.639,0.0651,0.514,0.833,0.738,104.995,,-3.835912391,-0.113665883,-2.277078553
If I Ain't Got You,002 (other people's songs),lokash,lofi,197589,0.399,0.267,-19.024,0.061,0.906,0.697,0.235,119.997,,-5.422163491,3.264929435,-3.105998863
Forget Me,Suncovers,owlh,lofi,213673,0.764,0.291,-9.02,0.0544,0.396,0.927,0.353,97.991,,-2.946647595,1.040862346,-1.61711594
Best Part,Covers Collection (Vol. 4),LAV8,lofi,243219,0.683,0.428,-12.553,0.123,0.653,0.909,0.551,79.993,,-3.580912065,1.221320834,-1.979183692
Kiss Me More,001 (other people's songs),lokash,lofi,206869,0.658,0.558,-11.636,0.0331,0.711,0.875,0.526,114.985,,-3.192855216,1.076079834,-1.739749427
I'm Good (Blue),Suncovers,owlh,lofi,176566,0.764,0.195,-8.537,0.161,0.634,0.908,0.253,83.003,,-3.532639787,0.988437266,-3.056158112
Prada,003 (other people's songs),lokash,lofi,123818,0.724,0.148,-22.225,0.0731,0.969,0.928,0.407,109.965,,-6.969584491,1.627683556,-4.427911999
sex money feelings die,My Name Is Spruce,Granlund,lofi,173985,0.792,0.301,-14.304,0.0416,0.272,0.893,0.107,114.991,,-3.321773439,1.551159297,-2.274035256
Intro,002 (other people's songs),lokash,lofi,132000,0.82,0.314,-15.076,0.0427,0.83,0.937,0.37,91.04,,-5.13269677,0.725197124,-3.051047379
overdrive,stories,rosarummet,lofi,142392,0.793,0.233,-17.064,0.0449,0.718,0.917,0.146,140.03,,-4.916105123,1.670906685,-3.794318352
Rockstar,Feelin' Cute,<3BEAT,lofi,186315,0.688,0.466,-15.6,0.0641,0.29,0.906,0.118,76.005,,-3.099637494,1.914138742,-1.830910848
Feel Good Inc.,Covers Collection (Vol. 4),LAV8,lofi,229971,0.768,0.374,-14.878,0.174,0.551,0.859,0.48,130.017,,-3.396297912,1.138140028,-3.113638773
Californication,Covers Collection (Vol. 3),LAV8,lofi,263059,0.659,0.362,-15.618,0.0966,0.51,0.9,0.558,170.016,,-3.261727667,1.799604934,-2.824233632
Daydreamin',Yours Truly,Ariana Grande,pop,211293,0.675,0.648,-6.003,0.0317,0.234,0,0.322,114.051,,-1.225725462,-0.1264302,0.45544807
Heartbeats,002 (other people's songs),lokash,lofi,145384,0.65,0.386,-11.895,0.153,0.809,0.867,0.277,155.978,,-3.069704722,1.309550019,-4.388366408
Heaven,undercover,owlh,lofi,174401,0.804,0.368,-6.531,0.0389,0.619,0.878,0.676,116.972,,-2.960610886,-0.346999151,-1.806303638
Don't Go Breaking My Heart,Feelin' Cute,<3BEAT,lofi,255272,0.57,0.408,-14.23,0.0793,0.285,0.944,0.242,81.563,,-2.863256259,2.536748904,-1.416368874
"Coffee, the Day After",About Last Night,Yedai,lofi,133020,0.608,0.253,-16.437,0.0494,0.593,0.00338,0.161,119.962,,-4.93239166,1.047081694,-2.121853703
Obsession,Jukebox,LAV8,lofi,130000,0.705,0.191,-20.703,0.0642,0.314,0.849,0.18,74.989,,-5.176830874,1.767629391,-2.822250326
Killing Me Softly With His Song,My Name Is Spruce,Granlund,lofi,297541,0.624,0.38,-16.238,0.0803,0.0354,0.855,0.25,174.065,,-1.975729989,2.705261039,-2.008905836
MAGIC (feat. babyidontlikeyou),MAGIC,"Gryffin,babyidontlikeyou",edm,202746,0.589,0.881,-5.23,0.049,0.00827,0.00277,0.34,137.012,,0.508336737,-0.183375452,0.422538034
Headaches,Headaches,Raveena,rap,311536,0.442,0.528,-9.269,0.0562,0.565,0.029,0.233,132.932,,-2.328632081,2.09206273,-0.178559512
"Sugar, We're Goin Down",From Under The Cork Tree,Fall Out Boy,metal,229093,0.494,0.842,-4.784,0.0843,0.00579,0,0.574,162.011,,0.829421864,-0.204687121,0.144466282
Centuries,American Beauty/American Psycho,Fall Out Boy,metal,228360,0.393,0.858,-2.868,0.0729,0.00359,0,0.56,176.042,,1.392901306,0.076903541,0.182422778
Armageddon,Armageddon - The 1st Album,aespa,pop,196466,0.695,0.789,-2.05,0.0671,0.0651,1.39E-06,0.469,91.991,,0.147905508,-1.180233562,0.880555078
Crawl,Chrysalis,Chloe Florence,edm,184918,0.736,0.737,-7.825,0.086,0.309,0.00693,0.458,122.027,,-1.253129379,-0.812495967,-0.510658055
Speed Drive,Barbie The Album,Charli xcx,pop,117809,0.652,0.879,-6.405,0.0784,0.00284,0.0896,0.789,173.925,,0.485797304,-1.99532071,-1.015514222
Bubble Gum,How Sweet,NewJeans,pop,200266,0.758,0.709,-3.589,0.0447,0.138,0,0.529,105.005,,-0.616765732,-1.290307855,0.772016556
Lose My Breath (Feat. Charlie Puth),Lose My Breath (Feat. Charlie Puth),"Stray Kids,Charlie Puth",pop,166913,0.818,0.707,-5.178,0.108,0.166,0,0.589,133.059,,-0.538209444,-1.812787758,-0.580998594
How Sweet,How Sweet,NewJeans,pop,219026,0.803,0.895,-2.888,0.0623,0.0816,5.67E-06,0.757,124.994,,0.248543567,-2.030809085,0.889537142
End Game,reputation,"Taylor Swift,Ed Sheeran,Future",pop,244826,0.649,0.589,-6.237,0.0558,0.00845,0,0.151,159.073,,-0.229877658,0.620988277,-0.045873703
Never Let Go,Never Let Go,Jung Kook,pop,166812,0.664,0.773,-4.32,0.0688,0.048,1.49E-05,0.173,129.884,,0.311788671,-0.378540047,-0.225905798
Fly High,AG! Calling,ATARASHII GAKKO!,pop,183186,0.728,0.841,-3.6,0.0523,0.045,1.66E-05,0.797,137.995,,0.187061427,-2.017478889,0.54079101
Vienna,The Stranger (Legacy Edition),Billy Joel,metal,214240,0.532,0.495,-6.662,0.0343,0.659,0,0.308,124.936,,-2.590371962,0.780300696,-0.453988192
Fly Me To The Moon (In Other Words),Sinatra/Basie: The Complete Reprise Studio Recordings,"Frank Sinatra,Count Basie",pop,147000,0.668,0.26,-14.256,0.0523,0.453,0,0.368,119.416,,-4.372522493,0.236547696,-1.534011336
(They Long To Be) Close To You,Close To You,Carpenters,pop,276000,0.532,0.244,-14.652,0.0327,0.707,4.56E-05,0.238,89.327,,-5.261241445,2.13147448,-0.304215453
"Oh, Pretty Woman","Oh, Pretty Woman",Roy Orbison,metal,178933,0.619,0.603,-9.481,0.0342,0.712,0,0.958,127.433,,-3.304725043,-1.187340117,-0.43947974
Somethin' Stupid,The World We Knew,"Frank Sinatra,Nancy Sinatra",pop,162493,0.257,0.338,-12.902,0.0357,0.736,0,0.544,207.356,,-3.508700948,1.569767781,-2.387203324
Hit the Road Jack,True Genius,Ray Charles,rap,119880,0.598,0.571,-12.616,0.139,0.704,0,0.962,173.141,,-3.059604948,-1.425117648,-2.759991816
My Girl,The Temptations Sing Smokey,The Temptations,pop,165000,0.574,0.418,-10.739,0.0345,0.636,0,0.692,104.57,,-3.95129837,-0.343794993,-0.591857298
A Nice Walk,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60216,0.19,0.088,-22.2,0.0388,0.946,0.909,0.2,133.87,,-6.483141024,3.47318861,-5.250582488
Flying with The Birds,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60000,0.445,0.137,-17.53,0.0372,0.978,0.767,0.208,114.595,,-6.087371831,1.933383402,-4.540548066
Melancholic Night,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60000,0.437,0.178,-18.926,0.0515,0.988,0.956,0.684,160.097,,-5.8477088,1.175390803,-5.262941452
Memories of The Past,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60170,0.546,0.177,-20.038,0.0414,0.971,0.95,0.447,128.103,,-6.313998275,1.367957984,-4.942835735
Falling Asleep,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60000,0.46,0.149,-17.942,0.0436,0.989,0.945,0.6,136.112,,-6.047178413,1.204064442,-4.886957208
Dream in The Sky,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.455,0.196,-19.268,0.041,0.989,0.923,0.463,143.704,,-5.940245672,1.590140373,-5.043406088
Getting Lost in The Clouds,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.183,0.283,-13.186,0.0411,0.971,0.956,0.523,126.361,,-4.402133151,1.934809962,-4.322911629
Above The Stars,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.309,0.152,-16.733,0.0428,0.995,0.897,0.585,147.012,,-5.613248728,1.671274759,-4.880587023
Morning Flight,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.383,0.0942,-21.771,0.0542,0.994,0.916,0.96,84.714,,-7.506038768,0.859304775,-4.292782354
Through The Window,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60000,0.224,0.182,-15.033,0.035,0.982,0.966,0.462,136.889,,-5.098627875,2.192086436,-4.676239529
A Cup of Tea,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.397,0.189,-21.434,0.0427,0.988,0.936,0.471,158.013,,-6.13160784,1.987306417,-5.38179338
A Nap on a Cloud,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60000,0.223,0.206,-15.308,0.0372,0.966,0.942,0.255,144.251,,-4.814202327,2.656505138,-4.889851659
Lovely Dreams,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60000,0.348,0.151,-17.892,0.0511,0.98,0.857,0.676,138.355,,-5.927547409,1.324956377,-4.789463671
Slow Waterfall,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60437,0.378,0.142,-15.388,0.0425,0.986,0.917,0.752,82.004,,-6.150722819,0.861479665,-3.852393223
Lonely Night,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,60000,0.498,0.253,-16.25,0.0476,0.967,0.966,0.815,80.458,,-5.900316161,0.265807189,-3.833123257
Lights Off,Flying with The Birds,"Baby La La Byes,Sleepy Tom",lofi,59239,0.599,0.0914,-18.021,0.0578,0.995,0.973,0.607,128.411,,-6.463809406,0.728260232,-5.097446833
Sleepy Eyed,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.615,0.153,-16.719,0.0423,0.985,0.956,0.744,144.055,,-5.992275573,0.21961134,-4.828731194
Lost Paradise,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.498,0.305,-16.505,0.0465,0.97,0.906,0.362,169.937,,-4.716576336,1.373634061,-5.217901316
Sleepless Night,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60000,0.316,0.18,-19.461,0.0391,0.985,0.952,0.521,107.956,,-6.233418851,1.979734316,-4.547772321
Walk in The Clouds,A Cup of Tea,"Baby La La Byes,Sleepy Tom",lofi,60137,0.307,0.233,-13.679,0.0355,0.985,0.934,0.606,122.94,,-4.976862605,1.343657018,-4.2285605
Précis Two,After Fillmore County,"Vansire,Ivy Sole",pop,72000,0.607,0.516,-11.963,0.0975,0.602,0.706,0.967,121.485,,-3.094429506,-1.28397549,-3.211745459
That I Miss You,That I Miss You,Vansire,pop,140116,0.779,0.572,-9.259,0.0396,0.306,0.739,0.967,114.994,,-2.204785382,-1.458565237,-1.21485534
明け星,LANDER,LiSA,pop,267346,0.363,0.869,-3.477,0.0498,0.000255,1.50E-06,0.229,95.017,,0.731105457,1.178616897,1.517697369
ADAMAS,赤い罠(who loves it?) / ADAMAS,LiSA,pop,225000,0.514,0.991,-1.768,0.115,0.00906,1.28E-05,0.298,95.528,,1.388452421,-0.090202628,0.794443521
Pantropiko,Pantropiko,BINI,pop,225466,0.78,0.803,-3.03,0.0438,0.25,0,0.801,94.989,,-0.799739085,-1.898909539,1.267634212
"Salamin, Salamin",Talaarawan,BINI,pop,230218,0.819,0.614,-7.074,0.0363,0.0971,0,0.704,122.001,,-1.455637459,-1.366113269,0.807312317
Karera,Karera,BINI,pop,268474,0.73,0.863,-3.336,0.0441,0.262,3.75E-05,0.813,118.022,,-0.45630128,-1.421514482,1.311730217
Lagi,Feel Good,BINI,pop,256410,0.777,0.831,-2.917,0.0554,0.02,7.14E-05,0.719,117.016,,0.170185555,-1.57066799,1.366734772
give it back,give it back,Cö shu Nie,pop,212476,0.461,0.591,-5.838,0.0496,0.463,0,0.354,99.826,,-1.749864814,0.664636383,0.120036027
燈,燈,Soushi Sakiyama,pop,238720,0.671,0.677,-4.849,0.0381,0.294,0,0.665,127.08,,-1.129422468,-0.795714705,0.673526996
SPECIALZ,SPECIALZ,King Gnu,pop,238986,0.566,0.85,-4.431,0.0599,0.0663,0,0.722,117.048,,0.093704141,-0.800920439,1.088239798
Hotline Bling,I've Seen You Somewhere Before,Miro Mas,lofi,189080,0.777,0.37,-14.961,0.0782,0.816,0.926,0.593,136.053,,-4.380598989,0.801123225,-3.211740809
Running Up That Hill (A Deal With God),Portals pt 2,Miro Mas,lofi,267834,0.671,0.223,-14.027,0.0453,0.788,0.936,0.264,131.914,,-4.598100057,2.617344111,-2.508447556
Kill Bill,003 (other people's songs),lokash,lofi,165675,0.727,0.393,-10.196,0.0831,0.768,0.865,0.666,148.045,,-3.280724013,0.178562185,-3.123044896
Flowers,undercover,owlh,lofi,206756,0.887,0.488,-4.792,0.0646,0.0408,0.885,0.869,110.994,,-0.950416229,-1.320291968,-0.60062097
Mad World,Nemuri Neko,Kamakuras,lofi,219000,0.684,0.274,-17.796,0.0474,0.756,0.887,0.323,79.99,,-5.484618495,2.182233546,-2.212988797
As It Was,003 (other people's songs),lokash,lofi,200860,0.722,0.101,-16.569,0.044,0.978,0.967,0.336,128.05,,-6.149883039,2.18998146,-3.505381908
Super Rich Kids,003 (other people's songs),lokash,lofi,290340,0.698,0.208,-17.314,0.0445,0.852,0.846,0.382,94,,-5.861022119,2.507854715,-1.914792875
Rush,003 (other people's songs),lokash,lofi,137468,0.664,0.24,-13.423,0.0386,0.836,0.914,0.573,79.014,,-5.264083849,0.779967142,-2.573912865
Late Night Talking,Stressed Success,<3BEAT,lofi,217333,0.663,0.46,-12.797,0.032,0.494,0.901,0.605,89.992,,-3.456142819,1.020906405,-1.136882946
Truly Madly Deeply,Truly Madly Deeply,Kamakuras,lofi,182800,0.62,0.381,-12.374,0.0318,0.784,0.93,0.525,75.005,,-4.401602896,1.251622336,-1.778373073
Lovefool,Lovefool,Kamakuras,lofi,185454,0.8,0.302,-10.26,0.0326,0.913,0.837,0.517,110.026,,-4.577307914,0.521293011,-2.276077913
Music For a Sushi Restaurant,Stressed Success,<3BEAT,lofi,231874,0.68,0.58,-11.845,0.0444,0.0732,0.804,0.835,95.98,,-1.955735038,0.091333961,-0.208562875
Pink + White,Covers Collection (Vol. 4),LAV8,lofi,199163,0.371,0.309,-18.437,0.0549,0.596,0.689,0.383,154.949,,-4.186694782,2.889608957,-2.851136011
Matsuri,LOVE ALL SERVE ALL,Fujii Kaze,pop,225920,0.663,0.731,-7.335,0.0338,0.00892,0.0502,0.356,97.025,,-0.768949074,-0.062513991,1.033031333
Bad Habits,I've Seen You Somewhere Before,Miro Mas,lofi,191480,0.719,0.36,-13.576,0.0742,0.911,0.873,0.646,174.035,,-4.095029849,0.849087888,-3.598616363
Can't Help Falling in Love,Feelin' Cute,<3BEAT,lofi,223014,0.507,0.184,-17.482,0.0287,0.955,0.904,0.145,68.001,,-6.203797869,3.443959128,-2.268406568
I'm Yours,Covers Collection (Vol. 2),LAV8,lofi,189774,0.647,0.272,-13.302,0.0555,0.909,0.804,0.319,154.895,,-4.409306625,1.837559726,-3.384402387
Toxic,In The Zone,Britney Spears,pop,198800,0.774,0.838,-3.914,0.114,0.0249,0.025,0.924,143.04,,0.367547946,-2.371739289,0.111262883
Gimme More,Blackout,Britney Spears,pop,251240,0.788,0.844,-3.131,0.0334,0.25,0.000678,0.382,113.324,,-0.35492266,-0.736338762,1.067128484
Rake It Up (feat. Nicki Minaj),I Still Am,"Yo Gotti,Nicki Minaj",rap,276333,0.91,0.444,-8.126,0.344,0.022,0,0.53,149.953,,-0.823352413,-0.986786691,-1.498906739
Mr Wonderful,Smile,SMiLE.dk,pop,193733,0.679,0.967,-5.24,0.0325,0.0626,0.0437,0.763,137.987,,0.188947812,-1.539557682,0.776780241
Sexy Naughty Bitchy,I Believe,Tata Young,pop,208760,0.703,0.83,-5.389,0.0626,0.0187,1.99E-05,0.862,98.025,,-0.395654635,-1.821816065,1.1564031
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",pop,218093,0.778,0.824,-5.892,0.0707,0.284,0,0.758,100.024,,-1.101793302,-1.654340955,0.632471585
Womanizer,Circus (Deluxe Version),Britney Spears,pop,224400,0.724,0.695,-5.226,0.0622,0.073,0,0.235,139,,-0.169133292,-0.157075483,0.099036011
Work It,Under Construction,Missy Elliott,rap,263226,0.884,0.677,-5.603,0.283,0.0778,0,0.584,101.868,,-0.339359785,-1.473560937,-0.370389878
一途,一途,King Gnu,pop,190606,0.5,0.964,-4.19,0.124,0.00723,6.20E-05,0.662,159.971,,1.312416396,-0.870431807,-0.275870788
NIGHT DANCER,POP CUBE,imase,pop,210600,0.924,0.563,-7.899,0.0802,0.0879,0,0.872,117.06,,-1.775581519,-2.259071093,0.275582454
踊り子,replica,Vaundy,pop,229328,0.712,0.517,-10.157,0.0533,0.826,0.8,0.686,157.038,,-3.061457439,0.572713045,-2.264020389
ねっこ,ねっこ,King Gnu,pop,239728,0.46,0.736,-7.09,0.0709,0.101,9.71E-05,0.521,94.753,,-0.677821009,0.305683394,0.860771347
Purple Rain,Portals pt 2,Miro Mas,lofi,241529,0.63,0.243,-17.753,0.0614,0.819,0.92,0.152,97.959,,-5.343115731,3.039275505,-2.71520974
憧れのままに,awake＆build,"yama,Tatsuya Kitani",pop,205973,0.684,0.942,-4.14,0.0523,0.088,0,0.752,143.967,,0.392024276,-1.565485738,0.61140396
It's a small world,Sympa,King Gnu,pop,193893,0.757,0.765,-4.205,0.0878,0.22,9.70E-05,0.952,92.999,,-0.917966337,-2.355200899,0.655487434
