Track Name,Album Name,Artist Name(s),Duration (ms),pop,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
君のせい,Hell like Heaven,the peggies,263066,56,anime,0.39,0.986,4,-1.51,1,0.0812,0.00079,0.00704,0.304,0.557,173.998,4,6.154688569472964
Sparkle - movie ver.,Your Name.,RADWIMPS,537653,67,anime,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4,8.607802874743326
Lovers,アンサーパレード,sumika,250800,62,anime,0.606,0.919,11,-2.024,1,0.0318,0.0657,0,0.297,0.766,114.474,4,8.856947296372347
crossing field,LANDSPACE,LiSA,248946,68,anime,0.45,0.983,5,-2.246,1,0.282,0.0186,0,0.265,0.314,179.041,4,11.425051334702259
色彩,awake＆build,yama,192920,60,anime,0.581,0.921,7,-3.373,0,0.0736,0.153,0,0.254,0.856,117.045,4,1.1909650924024642
Comedy,Comedy,Gen Hoshino,230666,63,anime,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,2.9869952087611225
センチメンタルクライシス,Assortrip,halca,243960,49,anime,0.409,0.896,7,-2.535,1,0.105,0.0107,0.0018,0.127,0.577,167.127,4,7.252566735112937
GIRI GIRI,GIRI GIRI,"Masayuki Suzuki,すぅ",258765,49,anime,0.78,0.889,11,-4.053,1,0.0351,0.223,0,0.0484,0.961,127.993,4,2.967830253251198
RED,RED,Survive Said The Prophet,253893,47,anime,0.449,0.693,5,-4.592,1,0.0351,0.0165,0,0.302,0.423,107.997,4,6.308008213552362
シンデレラ,シンデレラ,Cidergirl,212310,53,anime,0.572,0.955,7,-2.617,1,0.0626,0.0141,0,0.315,0.717,129.981,4,3.485284052019165
色香水,CLOSET,Yoh kamiyama,251186,54,anime,0.615,0.84,7,-5.811,1,0.0274,0.0576,0.000135,0.229,0.738,147.984,4,2.9349760438056127
found & lost,s p a c e [ s ],Survive Said The Prophet,188960,51,anime,0.547,0.987,1,-3.71,0,0.0783,0.000133,0.000303,0.343,0.382,104.086,4,6.5188227241615335
Hikare Inochi,Hikare Inochi,Kitri,322146,40,anime,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4,3.468856947296372
炎,炎,LiSA,275000,60,anime,0.477,0.685,2,-4.554,1,0.0325,0.105,0,0.277,0.308,152.04,4,4.473648186173854
紅蓮華,LEO-NiNE,LiSA,237586,73,anime,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,4,4.468172484599589
瞬き,TVアニメ「佐々木と宮野」オープニングテーマ「瞬き」,ミラクルチンパンジー,240506,39,anime,0.611,0.878,4,-4.683,1,0.0485,0.0332,0,0.0895,0.894,114.971,4,3.184120465434634
unlasting,LEO-NiNE,LiSA,296813,56,anime,0.637,0.447,7,-5.893,0,0.0302,0.53,0,0.0977,0.343,113.256,4,4.468172484599589
Sign,MICROCOSM,FLOW,236426,65,anime,0.363,0.914,11,-2.899,0,0.0983,0.00183,0,0.335,0.678,177.968,4,14.798083504449007
渋谷で5時,野宮真貴 渋谷系ソングブック,"Maki Nomiya,Clémentine,Masayuki Suzuki",261986,29,anime,0.712,0.81,5,-5.309,1,0.0313,0.0548,0.000423,0.116,0.934,123.912,4,6.422997946611909
風に吹かれて,ハルカカナタヘ,福原 遥,272826,39,anime,0.388,0.611,3,-3.724,1,0.0334,0.291,0,0.063,0.401,179.933,4,2.8199863107460645
打上花火,THANK YOU BLUE,"Daoko,Kenshi Yonezu",289577,65,anime,0.625,0.668,6,-4.315,1,0.0249,0.288,0,0.107,0.292,95.968,4,7.285420944558521
悲しくて lulululu -Original ver.-,KAGUYA Music Collection Season3,Keiki Nishida,250680,16,anime,0.662,0.908,0,-4.002,1,0.0401,0.0161,0,0.0337,0.54,114.98,4,2.0095824777549622
信じて,KAGUYA Music Collection Season3,Kei Haneoka,129493,14,anime,0.236,0.601,5,-5.56,1,0.0296,0.0953,0.867,0.0487,0.0635,80.98,4,2.0095824777549622
俺のノンフィクション,KAGUYA Music Collection Season3,Kei Haneoka,51906,8,anime,0.774,0.792,1,-8.734,1,0.201,0.000721,0.845,0.0369,0.249,125.029,4,2.0095824777549622
ひたむき,KAGUYA Music Collection Season3,Kei Haneoka,142426,8,anime,0.552,0.521,2,-5.912,1,0.0285,0.00649,0.776,0.286,0.211,124.009,4,2.0095824777549622
むかーしむかし,KAGUYA Music Collection Season3,Kei Haneoka,96240,5,anime,0.207,0.148,9,-13.316,0,0.0373,0.929,0.77,0.335,0.0397,104.738,3,2.0095824777549622
Love is Show,Love is Show,"Masayuki Suzuki,高城れに",242027,40,anime,0.697,0.836,1,-6.063,0,0.0428,0.233,0,0.336,0.852,141.01,5,2.297056810403833
History Maker,History Maker,DEAN FUJIOKA,190044,54,anime,0.397,0.668,9,-4.292,1,0.0855,0.102,0,0.0744,0.456,67.012,4,8.487337440109513
Habang Buhay,Habang Buhay,Shayne Orok,232241,30,anime,0.68,0.524,9,-6.591,1,0.0299,0.54,0,0.361,0.39,117.98,4,2.9924709103353866
Unholy,Unholy,"Shayne Orok,Curserino,Ali Orok",155038,45,anime,0.687,0.497,2,-6.109,1,0.0372,0.0581,0,0.472,0.285,131.038,4,2.1711156741957565
I'm Just Ken (From Barbie),I'm Just Ken (From Barbie),Geek Music,160104,15,anime,0.578,0.48,8,-9.458,0,0.0273,0.245,0,0.126,0.349,139.963,4,1.6919917864476386
絆ノ奇跡,絆ノ奇跡,"MAN WITH A MISSION,milet",223320,69,anime,0.436,0.951,7,-4.748,0,0.202,0.0046,0,0.149,0.428,169.955,4,1.9822039698836413
ココロのちず,ココロのちず,BOYSTYLE,263026,56,anime,0.54,0.913,1,-1.573,1,0.0366,0.00989,0,0.208,0.734,132.109,4,20.37508556
Wake up!,Wake up!,AAA,225786,49,anime,0.445,0.947,1,-1.97,1,0.0746,0.0219,0,0.328,0.688,176.146,4,10.754277891854894
Yuri on ICE,Yuri on ICE,Taro Umebayashi,220998,48,anime,0.176,0.514,8,-12.05,1,0.0308,0.816,0.637,0.117,0.154,80.018,4,8.432580424366872
愛について〜Eros〜,Oh! スケトラ!!! ユーリ!!! on ICE/オリジナル・スケートソングCOLLECTION,"Taku Matsushiba,Jin Oki",136120,40,anime,0.428,0.706,7,-6.55,1,0.044,0.0578,0.0469,0.312,0.548,103.847,3,8.281998631074606
Gurenge (From Demo,Gurenge (From Demo,Akano,89783,51,anime,0.656,0.654,7,-7.031,1,0.0346,0.0276,0,0.109,0.612,135.05,4,5.900068446269678
Prayer X (Acoustic),Prayer X (Acoustic),King Gnu,89000,41,anime,0.453,0.291,11,-10.999,1,0.0345,0.896,6.84e-05,0.26,0.481,140.693,4,6.537987679671458
だから僕は音楽を辞めた,だから僕は音楽を辞めた,Yorushika,242912,71,anime,0.65,0.88,4,-5.326,1,0.0283,0.36,0.00369,0.23,0.921,124.985,4,5.982203969883641
YELLOW,SHIAWASE NA OTONA,Yoh kamiyama,178712,56,anime,0.786,0.719,7,-4.77,0,0.0353,0.0144,0.000638,0.0887,0.686,117.981,4,6.0013689253935665
Overdose,劇場,natori,194106,67,anime,0.728,0.696,4,-6.215,0,0.0324,0.0343,2.15e-05,0.228,0.836,118.027,4,1.2867898699520877
青のすみか,青のすみか,Tatsuya Kitani,196466,71,anime,0.479,0.898,1,-4.809,1,0.169,0.0134,0,0.297,0.639,151.99,4,1.7412731006160165
晴る,晴る,Yorushika,270705,72,anime,0.695,0.571,11,-6.249,0,0.111,0.032,3.58e-06,0.118,0.726,101.955,4,1.242984257357974
カタオモイ,daydream,Aimer,207360,64,anime,0.621,0.533,1,-5.974,1,0.0342,0.78,0,0.333,0.791,96.981,4,8.531143052703628
センチメートル,The GARDEN,the peggies,227013,57,anime,0.564,0.922,2,-2.303,1,0.0368,0.00198,5.03e-06,0.231,0.828,139.962,4,3.4524298425735798
MUFFIN,MUFFIN,"BadBoyHalo,CG5,Hyper Potions,Skeppy,CaptainPuffy",224040,49,bass,0.64,0.857,6,-4.687,1,0.161,0.154,0,0.151,0.713,181.979,4,3.4469541409993156
When You Say My Name,When You Say My Name,Chandler Leighton,148275,64,bass,0.793,0.536,1,-8.012,1,0.0413,0.0379,0,0.129,0.576,92.961,4,3.0663928815879533
Fixer Upper,Proof You Weren't The Only One,Chandler Leighton,170736,48,bass,0.595,0.568,2,-4.922,0,0.0385,0.0862,0,0.3,0.472,149.9,3,0.9363449691991786
MONSTER,Proof You Weren't The Only One,Chandler Leighton,158197,56,bass,0.518,0.433,11,-5.942,0,0.0288,0.0702,1.09e-05,0.122,0.212,138.009,3,0.9363449691991786
American Dream,Proof You Weren't The Only One,Chandler Leighton,183227,42,bass,0.488,0.734,7,-5.669,0,0.0476,0.14,0,0.169,0.355,125.679,4,0.9363449691991786
Cross My Heart I Hope U Die (With Chandler Leighton),Cross My Heart I Hope U Die (With Chandler Leighton),"Meg Smith,Chandler Leighton",169521,43,bass,0.813,0.58,11,-6.292,0,0.0685,0.0172,8.66e-05,0.16,0.414,114.974,4,1.4921286789869952
I THINK YOU TURNED ME,I THINK YOU TURNED ME,Chandler Leighton,132250,55,bass,0.778,0.791,6,-4.582,0,0.0695,0.0414,0.000238,0.26,0.391,98.04,4,2.7761806981519506
Stand By Me (feat. Micky Blue),Stand By Me (feat. Micky Blue),"VINAI,Streex,Micky Blue",195310,27,bass,0.513,0.73,4,-4.897,1,0.0545,0.0232,0,0.181,0.158,144.942,4,8.391512663
touchin’ me,touchin’ me,Chandler Leighton,149617,65,bass,0.643,0.476,0,-9.986,0,0.0489,0.233,8.81e-06,0.233,0.176,136.247,4,0.6872005475701575
"anybody can find love (except you.) - breakcore, instrumental","anybody can find love (except you.) [breakcore, instrumental]","breakcore girl,Karōshi",120000,41,breakcore,0.646,0.943,9,-4.928,1,0.0418,0.827,0.301,0.087,0.576,127.986,4,1.3442847364818618
outside breakcore (instrumental),outside breakcore (instrumental),"breakcore girl,Karōshi",133892,38,breakcore,0.502,0.956,6,-5.804,0,0.0847,0.303,0.907,0.112,0.525,178.08,4,1.5824777549623545
"escapism. - breakcore, instrumental","escapism. (breakcore, instrumental)","breakcore girl,Karōshi",124236,24,breakcore,0.384,0.939,11,-4.11,0,0.227,0.0146,0.874,0.0914,0.231,192.129,4,1.3442847364818618
give it to me - breakcore instrumental,give it to me (breakcore instrumental),"breakcore girl,Karōshi",64874,26,breakcore,0.345,0.947,11,-4.813,1,0.172,0.334,0.887,0.232,0.703,159.86,4,1.3442847364818618
"mr. saxobeat - breakcore, instrumental","mr. saxobeat (breakcore, instrumental)","breakcore girl,Karōshi",113722,18,breakcore,0.558,0.853,11,-5.928,0,0.0583,0.351,0.901,0.167,0.237,159.851,4,1.3661875427789185
Have Mercy,Paper Horses,"Paper Horses,Leslie Jordan,Taylor Leonhardt,Sandra McCracken,Jess Ray",179000,26,folk,0.655,0.317,9,-10.001,0,0.0566,0.737,6.12e-05,0.267,0.408,144.061,4,1.2101300479123889
"Soldier, Poet, King",Dear Wormwood,The Oh Hellos,165673,73,folk,0.347,0.758,8,-7.753,1,0.0706,0.031,0.000659,0.109,0.484,117.959,4,9.464750171115675
Lately,Nostalgia Pack,"Forrest Frank,Forrest.",207017,50,hip hop,0.714,0.633,0,-4.069,1,0.181,0.227,1.73e-05,0.276,0.869,160.02,4,1.8562628336755647
Why Not Me,Nostalgia Pack,"Forrest Frank,Forrest.",206194,49,hip hop,0.905,0.732,7,-7.384,1,0.298,0.463,0,0.526,0.689,145.961,4,1.8562628336755647
Your soul,Nostalgia Pack,"Forrest Frank,Forrest.",178280,51,hip hop,0.852,0.854,9,-3.941,1,0.367,0.0287,0,0.148,0.842,139.946,4,1.8562628336755647
slow down,slow down,"Forrest.,Forrest Frank",170521,56,hip hop,0.63,0.458,4,-8.028,1,0.0451,0.383,0.000697,0.104,0.747,172.064,4,2.759753593429158
red flag collector,chemistry,Kelly Clarkson,178925,39,christmas,0.43,0.834,11,-4.543,1,0.074,0.0137,0,0.379,0.369,179.9,4,1.7796030116358659
It's a Beautiful Day,To Be Loved,Michael Bublé,199266,64,christmas,0.532,0.795,1,-3.979,1,0.0358,0.0559,0,0.295,0.78,143.837,4,11.978097193702943
Wake Me Up Before You Go-Go,Make It Big,Wham!,231333,79,christmas,0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4,40.44353183
Since U Been Gone,Breakaway,Kelly Clarkson,188960,76,christmas,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131,4,21.21013004791239
My Life Would Suck Without You,All I Ever Wanted,Kelly Clarkson,211493,67,christmas,0.526,0.882,9,-4.006,1,0.0509,0.0014,0,0.144,0.424,144.982,4,16.076659822039698
Feeling Good,It's Time,Michael Bublé,237333,68,christmas,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,3,20.150581793292265
Haven't Met You Yet,Crazy Love,Michael Bublé,244586,70,christmas,0.615,0.733,8,-4.808,1,0.0335,0.152,0,0.109,0.796,122.58,4,15.490759753593428
Everything,Call Me Irresponsible,Michael Bublé,212373,71,christmas,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,4,17.935660506502394
Save the Last Dance for Me,Save the Last Dance for Me EP,Michael Bublé,218613,34,christmas,0.745,0.45,4,-9.121,1,0.0354,0.288,0,0.0538,0.807,133.952,4,20.147843942505133
Smooth Criminal (Glee Cast Version) (feat. 2CELLOS),"Glee: The Music, The Complete Season Three","Glee Cast,2CELLOS",214680,51,christmas,0.756,0.814,0,-6.111,1,0.0436,0.634,0.00068,0.161,0.905,135.045,4,12.596851471594798
Dancing On My Own,Bridgerton Season Two (Covers from the Netflix Series),Vitamin String Quartet,279840,60,classical,0.568,0.272,6,-12.719,1,0.0321,0.991,0.891,0.0916,0.29,116.978,4,3.025325119780972
If I Ain't Got You,Queen Charlotte: A Bridgerton Story (Covers from the Netflix Series),Vitamin String Quartet,214000,55,classical,0.291,0.441,7,-5.349,1,0.032,0.72,0.00851,0.35,0.235,121.743,3,1.9164955509924708
Girls Like You,Bridgerton (Covers from the Netflix Original Series),Vitamin String Quartet,203440,55,classical,0.421,0.201,0,-12.444,1,0.0445,0.884,0.139,0.107,0.475,93.721,3,4.271047227926078
Viva La Vida,Music,David Garrett,255336,43,classical,0.589,0.442,8,-7.113,1,0.0396,0.146,0.808,0.0978,0.515,137.983,4,13.253935660506503
Dangerous,Explosive (Deluxe),classical,234226,43,classical,0.533,0.786,4,-6.631,0,0.0542,0.176,0.379,0.169,0.216,92.008,4,9.483915126625599
We Found Love,In2ition,"2CELLOS,HAUSER,Luka Sulic",212600,50,classical,0.332,0.399,2,-11.316,1,0.0447,0.797,0.886,0.501,0.589,129.9,4,12.224503764544833
Running Up That Hill (A Deal With God),Running up That Hill (a Deal with God),Vitamin String Quartet,268586,41,classical,0.524,0.309,0,-11.977,0,0.0375,0.963,0.292,0.174,0.533,111.162,4,2.7186858316221767
Dynamite,"VSQ Performs the Hits of 2020, Vol. 2",Vitamin String Quartet,198186,55,classical,0.785,0.256,4,-11.505,1,0.0502,0.845,0.695,0.075,0.888,113.97,4,4.328542094455853
Cheap Thrills,"VSQ Performs the Hits of 2016, Vol. 2",Vitamin String Quartet,207640,59,classical,0.384,0.186,2,-10.739,0,0.0379,0.136,0.228,0.101,0.545,179.798,4,8.602327173169062
"Good Little Girl (feat. Donald Glover, Madeleine Martin & Roz Ryan)",musicals,"Adventure Time,Donald Glover,Madeleine Martin,Roz Ryan",111159,55,comedy,0.639,0.354,0,-14.696,1,0.166,0.877,0.0605,0.097,0.551,142.403,3,5.924709103353867
BELANOVA,ÉXODO,"Peso Pluma,Tito Double P",164822,78,corridos,0.726,0.808,1,-5.845,1,0.064,0.556,5.4e-06,0.208,0.814,129.84,3,0.785763176
La Diabla,La Diabla,Xavi,172264,76,corridos,0.751,0.819,11,-4.372,0,0.0409,0.255,0,0.236,0.697,131.842,3,1.3415468856947297
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),"Taylor Swift,Chris Stapleton",285106,69,country,0.391,0.715,0,-4.516,1,0.0495,0.167,0,0.183,0.473,149.654,3,3.3894592744695413
Life is a Highway,musicals,Rascal Flatts,275640,74,country,0.562,0.934,5,-5.562,1,0.0607,0.00211,0,0.199,0.558,103.042,4,19.252566735112936
Before He Cheats,Some Hearts,Carrie Underwood,199946,76,country,0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,4,19.38398357289528
Last Night,One Thing At A Time,Morgan Wallen,163854,80,country,0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812,4,2.086242299794661
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,"Zach Bryan,Kacey Musgraves",227195,86,country,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4,1.6071184120465434
September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",215093,74,disco,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4,46.36002737850787
The Wanderer,Runaround Sue,Dion,168640,62,doo-wop,0.59,0.546,7,-10.213,1,0.0436,0.301,0,0.0936,0.855,114.04,4,64.25188227241615
Hey Lover,Mr. Smith (Deluxe Edition),"LL COOL J,Boyz II Men",284693,59,hip hop,0.707,0.427,5,-12.216,0,0.07,0.341,0,0.105,0.542,88.079,4,29.366187542778917
Everything Goes On,Everything Goes On,"Porter Robinson,League of Legends",202821,60,edm,0.55,0.648,7,-6.542,1,0.0309,0.0191,0,0.0999,0.323,156.957,4,2.7214236824093088
Happier,Happier,"Marshmello,Bastille",214289,83,edm,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,4,6.628336755646817
My Way,96 Months,Calvin Harris,219159,80,edm,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986,4,0.6516084873374401
Stay,Stay,"Zedd,Alessia Cara",210090,75,edm,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,4,8.106776180698152
Other Boys,Other Boys,"Marshmello,Dove Cameron",137065,55,edm,0.738,0.828,10,-6.31,0,0.106,0.0119,0.0019,0.549,0.542,119.985,4,1.568788501026694
Nine in the Afternoon - Single Mix,Pretty. Odd.,Panic! At The Disco,191560,55,emo,0.405,0.689,10,-5.75,1,0.0365,0.0843,0,0.207,0.397,155.189,4,17.026694045174537
Say Amen (Saturday Night),Pray for the Wicked,Panic! At The Disco,189186,62,emo,0.491,0.867,6,-2.313,0,0.103,0.167,0,0.458,0.602,167.965,4,6.781656399726215
Immortals,American Beauty/American Psycho,Fall Out Boy,189386,75,emo,0.616,0.868,2,-3.606,1,0.0699,0.00131,1.54e-06,0.671,0.475,108.016,4,10.212183436002737
Centuries,American Beauty/American Psycho,Fall Out Boy,228360,81,emo,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,4,10.212183436002737
My Songs Know What You Did In The Dark (Light Em Up),rock,Fall Out Boy,186826,76,emo,0.557,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.566,151.988,4,11.97535934291581
Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance,205960,71,emo,0.411,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,4,14.40930869267625
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),"Taylor Swift,Fall Out Boy",266466,66,emo,0.547,0.854,7,-4.753,1,0.0526,0.018,0,0.156,0.26,131.068,4,1.7412731006160165
Stay Frosty Royal Milk Tea,MANIA,Fall Out Boy,171053,53,emo,0.465,0.872,8,-4.653,0,0.0647,0.000643,6.57e-06,0.25,0.68,145.886,4,7.2032854209445585
Starboy,Starboy,"The Weeknd,Daft Punk",230453,89,"french house,electronic,electro",0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,8.353182751540041
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg,Wiz Khalifa,Bruno Mars",207333,75,hip hop,0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,4,13.478439425051334
The Final Countdown,The Final Countdown (Expanded Edition),Europe,310333,76,glam metal,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,4,39.252566735112936
Prada,Prada,"cassö,RAYE,D-Block Europe",132359,83,"hypertechno,grime,uk drill",0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,4,1.6454483230663928
No Worries,"You & Me, That's Enough",Devin Kennedy,161535,40,indie,0.772,0.44,2,-11.046,1,0.0549,0.434,0,0.181,0.472,109.962,4,5.497604381
Something Bout That Feeling,"You & Me, That's Enough",Devin Kennedy,132688,52,indie,0.69,0.397,5,-6.514,1,0.0453,0.064,0,0.0784,0.772,203.723,4,5.497604381
Snap Out Of It,AM,Arctic Monkeys,193030,78,indie,0.728,0.638,5,-6.455,0,0.0336,0.249,0,0.116,0.872,130.014,4,11.564681724845997
I Wanna Be Yours,AM,Arctic Monkeys,183956,91,indie,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,11.564681724845997
Do I Wanna Know?,AM,Arctic Monkeys,272394,87,indie,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4,11.564681724845997
Why'd You Only Call Me When You're High?,AM,Arctic Monkeys,161123,85,indie,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,4,11.564681724845997
505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,253586,82,indie,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4,17.94387405886379
Poetry,Poetry,Devin Kennedy,144750,48,indie,0.466,0.327,0,-11.899,1,0.048,0.909,0.0444,0.116,0.467,112.912,4,2.833675564681725
Sorbet,Sorbet,Galdive,198290,41,indie,0.736,0.446,0,-6.532,1,0.0821,0.518,5.42e-05,0.107,0.564,78.77,4,5.7850787132101305
Unforgettable,Unforgettable,Nat King Cole,191973,70,jazz,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3,71.25256673511294
Autumn Nocturne,Blues Walk,Lou Donaldson,294666,55,jazz,0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,4,67.25256673511294
Quiet Now,Lazy Weekend,jazz,298672,48,jazz,0.637,0.0694,0,-21.269,0,0.0671,0.929,0.883,0.123,0.387,119.919,3,2.3846680355920604
Blue In Green,BD Music Presents Kind of Blue,Miles Davis,337560,32,jazz,0.436,0.0258,2,-22.609,0,0.0372,0.815,0.000583,0.103,0.146,109.771,4,3.3675564681724848
A Time For Love,Lazy Weekend,jazz,296895,37,jazz,0.485,0.0699,7,-20.214,1,0.0508,0.875,0.88,0.144,0.352,76.064,3,2.3846680355920604
Moonrays,My Romance,jazz,222054,51,jazz,0.6,0.0434,7,-28.903,1,0.0459,0.971,0.826,0.0859,0.0461,119.792,4,1.8863791923340179
Theme for Laura,Stockholm Underground,"Magnus Lindgren,Daniel Karlsson,Henrik Jansson,Lars Larry Danielsson,Per Lindvall,Nils Landgren",188716,44,jazz,0.533,0.215,7,-13.577,0,0.0313,0.969,0.923,0.115,0.172,126.765,4,7.605749486652978
Galaxy,Quiet Place,jazz,303583,30,jazz,0.469,0.0596,3,-21.444,0,0.0332,0.975,0.96,0.113,0.264,84.929,4,2.297056810403833
